sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
9344.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,2.0,2.0,-1.0,1.0,-4.0
9345.0,9339.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,2.0,-6.0
9343.0,9338.0,10000.0,-2.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-3.0,3.0,-1.0,1.0,-5.0
9343.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,-2.0,2.0,2.0,2.0,-1.0,1.0,2.0,2.0,-3.0
9344.0,9340.0,10000.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9338.0,10000.0,0.0,0.0,-1.0,1.0,1.0,1.0,-2.0,2.0,0.0,0.0,-3.0,3.0,-6.0
9344.0,9338.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.0,3.0,-1.0,1.0,-6.0
9344.0,9341.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,-3.0
9345.0,9342.0,10000.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,-3.0
9343.0,9339.0,10000.0,-2.0,2.0,-1.0,1.0,-2.0,2.0,-3.0,3.0,-1.0,1.0,-1.0,1.0,-4.0
9342.0,9339.0,10000.0,-1.0,1.0,-3.0,3.0,-3.0,3.0,0.0,0.0,0.0,0.0,-2.0,2.0,-3.0
9345.0,9340.0,10000.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9343.0,9340.0,10000.0,-2.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0
9344.0,9338.0,10000.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,2.0,0.0,0.0,-4.0,4.0,-6.0
9345.0,9340.0,10000.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,-5.0
9344.0,9342.0,10000.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,-2.0
9343.0,9339.0,10000.0,-1.0,1.0,-2.0,2.0,0.0,0.0,-3.0,3.0,-3.0,3.0,-1.0,1.0,-4.0
9343.0,9339.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-4.0
9343.0,9340.0,10000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.0
9345.0,9339.0,10000.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-6.0
9343.0,9341.0,10000.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,-2.0
9344.0,9341.0,10000.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,-3.0
9345.0,9339.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,2.0,1.0,1.0,-1.0,1.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,-2.0,2.0,-6.0
9343.0,9340.0,10000.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-2.0,2.0,-1.0,1.0,-3.0
9343.0,9340.0,10000.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0
9345.0,9339.0,10000.0,2.0,2.0,2.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-6.0
9343.0,9339.0,10000.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-4.0
9343.0,9339.0,10000.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9343.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0,-4.0
9343.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,-2.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.0
9343.0,9338.0,10000.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,2.0,-5.0
9343.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,-3.0
9345.0,9340.0,10000.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0
9343.0,9340.0,10000.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0
9344.0,9341.0,10000.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-3.0
9346.0,9338.0,10000.0,2.0,2.0,3.0,3.0,3.0,3.0,-3.0,3.0,-1.0,1.0,-3.0,3.0,-8.0
9344.0,9337.0,10000.0,-2.0,2.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,3.0,-1.0,1.0,-7.0
9343.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,-2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,-3.0
9343.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-3.0
9345.0,9340.0,10000.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9344.0,9340.0,10000.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9345.0,9341.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,-4.0
9343.0,9339.0,10000.0,-2.0,2.0,0.0,0.0,0.0,0.0,-2.0,2.0,-1.0,1.0,-2.0,2.0,-4.0
9346.0,9339.0,10000.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,-2.0,2.0,-1.0,1.0,-7.0
9346.0,9339.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,-1.0,1.0,-7.0
9344.0,9341.0,10000.0,-2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,1.0,-3.0
9343.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-1.0,1.0,0.0,0.0,1.0,1.0,-3.0
9344.0,9338.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,2.0,-2.0,2.0,0.0,0.0,-6.0
9345.0,9340.0,10000.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-5.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,-4.0
9343.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,-3.0
9344.0,9339.0,10000.0,1.0,1.0,-2.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-5.0
9343.0,9340.0,10000.0,-1.0,1.0,-3.0,3.0,-2.0,2.0,1.0,1.0,1.0,1.0,-2.0,2.0,-3.0
9346.0,9340.0,10000.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,-1.0,1.0,1.0,1.0,-6.0
9345.0,9339.0,10000.0,-1.0,1.0,2.0,2.0,3.0,3.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-6.0
9347.0,9340.0,10000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.0
9343.0,9338.0,10000.0,-4.0,4.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-5.0
9342.0,9340.0,10000.0,-1.0,1.0,-2.0,2.0,-2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,-2.0
9343.0,9340.0,10000.0,1.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
9344.0,9339.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-3.0,3.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9342.0,9340.0,10000.0,-2.0,2.0,-4.0,4.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
9343.0,9339.0,10000.0,1.0,1.0,-2.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-4.0
9345.0,9341.0,10000.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,-4.0
9345.0,9339.0,10000.0,0.0,0.0,-2.0,2.0,2.0,2.0,-2.0,2.0,-1.0,1.0,-2.0,2.0,-6.0
9344.0,9339.0,10000.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,2.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,2.0,2.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9342.0,9340.0,10000.0,-2.0,2.0,-1.0,1.0,-3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
9343.0,9340.0,10000.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0
9345.0,9339.0,10000.0,2.0,2.0,1.0,1.0,2.0,2.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-6.0
9342.0,9341.0,10000.0,-3.0,3.0,0.0,0.0,-3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,-1.0
9343.0,9338.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,-3.0,3.0,-1.0,1.0,-1.0,1.0,-5.0
9343.0,9338.0,10000.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,-3.0,3.0,-1.0,1.0,-5.0
9345.0,9338.0,10000.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-7.0
9345.0,9339.0,10000.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,-1.0,1.0,-6.0
9343.0,9339.0,10000.0,-2.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
9344.0,9339.0,10000.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9344.0,9341.0,10000.0,0.0,0.0,2.0,2.0,-1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,-3.0
9345.0,9342.0,10000.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,-3.0
9345.0,9339.0,10000.0,0.0,0.0,2.0,2.0,1.0,1.0,-3.0,3.0,1.0,1.0,-2.0,2.0,-6.0
9343.0,9339.0,10000.0,-2.0,2.0,-2.0,2.0,-3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,-4.0
9342.0,9339.0,10000.0,-1.0,1.0,-3.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.0
9342.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0
9345.0,9339.0,10000.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,-6.0
9344.0,9339.0,10000.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9345.0,9339.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-3.0,3.0,0.0,0.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
9342.0,9340.0,10000.0,-3.0,3.0,-1.0,1.0,-4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
9343.0,9339.0,10000.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-4.0
9344.0,9339.0,10000.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9345.0,9339.0,10000.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-6.0
9342.0,9339.0,10000.0,-3.0,3.0,-2.0,2.0,-3.0,3.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0
9342.0,9339.0,10000.0,0.0,0.0,-3.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0
9343.0,9339.0,10000.0,1.0,1.0,-2.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-4.0
9344.0,9340.0,10000.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-4.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-5.0
9345.0,9340.0,10000.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0
9343.0,9340.0,10000.0,-2.0,2.0,0.0,0.0,-3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0
9343.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,-2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,-3.0
9344.0,9340.0,10000.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-4.0
9344.0,9339.0,10000.0,0.0,0.0,2.0,2.0,-3.0,3.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-5.0
9344.0,9341.0,10000.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,-3.0
9345.0,9339.0,10000.0,1.0,1.0,2.0,2.0,3.0,3.0,-2.0,2.0,0.0,0.0,-1.0,1.0,-6.0
9345.0,9340.0,10000.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-5.0
9344.0,9339.0,10000.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9341.0,10000.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,-3.0
9346.0,9339.0,10000.0,2.0,2.0,3.0,3.0,3.0,3.0,-2.0,2.0,-1.0,1.0,0.0,0.0,-7.0
9344.0,9338.0,10000.0,-2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,2.0,-3.0,3.0,-6.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-4.0
9343.0,9339.0,10000.0,-1.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9339.0,10000.0,1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-5.0
9343.0,9339.0,10000.0,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-4.0
9344.0,9339.0,10000.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,-2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,-4.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9343.0,9341.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0
9345.0,9340.0,10000.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-5.0
9343.0,9339.0,10000.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9341.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,-3.0
9344.0,9341.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-3.0
9345.0,9341.0,10000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,-4.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,-4.0
9344.0,9339.0,10000.0,0.0,0.0,1.0,1.0,2.0,2.0,-1.0,1.0,-2.0,2.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,-5.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
9343.0,9339.0,10000.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-4.0
9345.0,9340.0,10000.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,-5.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,-4.0
9345.0,9341.0,10000.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,-4.0
9345.0,9339.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,-2.0,2.0,0.0,0.0,-1.0,1.0,-6.0
9342.0,9340.0,10000.0,-3.0,3.0,-2.0,2.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
9344.0,9340.0,10000.0,2.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9341.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,-3.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-4.0
9345.0,9340.0,10000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0
9346.0,9340.0,10000.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
9344.0,9340.0,10000.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
9345.0,9339.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-2.0,2.0,-6.0
9344.0,9338.0,10000.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-1.0,1.0,-2.0,2.0,-1.0,1.0,-6.0
9344.0,9337.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0,3.0,-1.0,1.0,-7.0
9344.0,9337.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,-3.0,3.0,-7.0
9344.0,9340.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
9344.0,9338.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,-6.0
9345.0,9339.0,10000.0,1.0,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,-6.0
9344.0,9339.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9345.0,9339.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-6.0
9342.0,9339.0,10000.0,-3.0,3.0,-2.0,2.0,-2.0,2.0,0.0,0.0,2.0,2.0,-1.0,1.0,-3.0
9344.0,9339.0,10000.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-5.0
9344.0,9341.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,-3.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,2.0,-1.0,1.0,-2.0,2.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-5.0
9344.0,9339.0,10000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-5.0
9345.0,9338.0,10000.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-7.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,1.0,-4.0
9344.0,9340.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-4.0
9345.0,9339.0,10000.0,1.0,1.0,3.0,3.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,2.0,-6.0
9345.0,9339.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-6.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-4.0
9344.0,9339.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-5.0
9345.0,9339.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
9344.0,9341.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.0
9345.0,9340.0,10000.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-5.0
9344.0,9340.0,10000.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
9344.0,9341.0,10000.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,-3.0
9343.0,9341.0,10000.0,-1.0,1.0,-2.0,2.0,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,-2.0
9345.0,9342.0,10000.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-3.0
9345.0,9340.0,10000.0,0.0,0.0,1.0,1.0,2.0,2.0,-2.0,2.0,1.0,1.0,1.0,1.0,-5.0
9345.0,9340.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0
